"groundName","location","price"
"Gen X Cricket Arena Ground","Hyderabad (Telangana)","₹ N/A"
"Gharat Cricket Ground Kharghar , Booking 9819892276 ,","Navi Mumbai","₹ 1000/hr-day, 2000/hr-night"
"Ghevra - Cricket Ground","New Delhi","₹ N/A"
"Ghevra Cricket Ground","New Delhi","₹ N/A"
"Girgaon Cricket Ground","Kolhapur","₹ 1500/hr-day, 1500/hr-night"
"Giriraj Cricket Ground","Ghaziabad","₹ 7500/hr-day"
"Gitanjali Stadium","Kolkata","₹ N/A"
"GL SPORTS","Gurgaon","₹ 1000/hr-day, 1000/hr-night"
"GL Sports Academy","Gurgaon","₹ 1500/hr-day, 3000/hr-night"
"Glanz Cricket Academy","Bengaluru (Bangalore)","₹ 1500/hr-day, 0/hr-night"
"GLCC","Chennai","₹ 500/hr-day, 500/hr-night"
"GMS BOX CRICKET GROUND","Telangana State","₹ 1000/hr-day, 1500/hr-night"
"GNR Club Ground","Hyderabad (Telangana)","₹ N/A"
"Go Sports Cricket Ground Adavinekkalam","Vijayawada","₹ 10000/hr-day"
"Gods Cricket Ground","Noida","₹ N/A"
"Goga Cricket Association","Sumerpur (Rajasthan)","₹ 500/hr-day, 2000/hr-night"
"Goga Cricket Stadium","Sumerpur (Rajasthan)","₹ 500/hr-day, 2000/hr-night"
"Gogelao KGN","Nagaur","₹ 2000/hr-day, 500/hr-night"
"Gokad Cricket ground","Hapur","₹ 500/hr-day, 1000/hr-night"
"Golden Cricket Ground","New Delhi","₹ 1700/hr-day"
"Golden Ground Park","Karachi","₹ 50/hr-day, 20/hr-night"
"Goma KARGIL Play Ground","Kargil","₹ N/A"
"Goplana Jhora","Taranagar","₹ 1100/hr-day"
"Goriaker Cricket Griund","Handwara","₹ 100/hr-day, 100/hr-night"
"Government Law College","Mumbai","₹ N/A"
"GOVERNMENT SCHOOL GROUND","Gangapur (Rajasthan)","₹ 500/hr-day, 600/hr-night"
"Govindgarh Sports Club","Ajmer","₹ 100/hr-day, 300/hr-night"
"Govindpur Cricket Ground.","Lakhimpur (Uttar Pradesh)","₹ 200/hr-day"
"GOVT HS GROUND","Nawa","₹ 10/hr-day"
"Garhbeta Cricket Ground","Midnapur","₹ 100/hr-day, 2000/hr-night"
"GBU Cricket Ground","Greater Noida","₹ N/A"
"Gcc Home Ground (Annachi Stadium) Sivanadanoor","Tenkasi","₹ 200/hr-day, 200/hr-night"
"GD Sports Complex Ground","Faridabad","₹ 3000/hr-day"
"GEAR CRICKET GROUND","Lucknow","₹ N/A"
"Gelawas Jagdamba Cricket Stadium","Pali (Rajasthan)","₹ 1500/hr-day"
"Gen X Cricket Arena 2","Hyderabad (Telangana)","₹ 3000/hr-day"
"Gen X Cricket Arena Ground","Hyderabad (Telangana)","₹ N/A"
"Gharat Cricket Ground Kharghar , Booking 9819892276 ,","Navi Mumbai","₹ 1000/hr-day, 2000/hr-night"
"Ghevra - Cricket Ground","New Delhi","₹ N/A"
"Ghevra Cricket Ground","New Delhi","₹ N/A"
"Girgaon Cricket Ground","Kolhapur","₹ 1500/hr-day, 1500/hr-night"
"Giriraj Cricket Ground","Ghaziabad","₹ 7500/hr-day"
"Gitanjali Stadium","Kolkata","₹ N/A"
"GL SPORTS","Gurgaon","₹ 1000/hr-day, 1000/hr-night"
"GL Sports Academy","Gurgaon","₹ 1500/hr-day, 3000/hr-night"
"Glanz Cricket Academy","Bengaluru (Bangalore)","₹ 1500/hr-day, 0/hr-night"
"GLCC","Chennai","₹ 500/hr-day, 500/hr-night"
"GMS BOX CRICKET GROUND","Telangana State","₹ 1000/hr-day, 1500/hr-night"
"GNR Club Ground","Hyderabad (Telangana)","₹ N/A"
"Go Sports Cricket Ground Adavinekkalam","Vijayawada","₹ 10000/hr-day"
"Gods Cricket Ground","Noida","₹ N/A"
"Goga Cricket Association","Sumerpur (Rajasthan)","₹ 500/hr-day, 2000/hr-night"
"Goga Cricket Stadium","Sumerpur (Rajasthan)","₹ 500/hr-day, 2000/hr-night"
"Gogelao KGN","Nagaur","₹ 2000/hr-day, 500/hr-night"
"Gokad Cricket ground","Hapur","₹ 500/hr-day, 1000/hr-night"
"Golden Cricket Ground","New Delhi","₹ 1700/hr-day"
"Golden Ground Park","Karachi","₹ 50/hr-day, 20/hr-night"
"Goma KARGIL Play Ground","Kargil","₹ N/A"
"Goplana Jhora","Taranagar","₹ 1100/hr-day"
"Goriaker Cricket Griund","Handwara","₹ 100/hr-day, 100/hr-night"
"Government Law College","Mumbai","₹ N/A"
"GOVERNMENT SCHOOL GROUND","Gangapur (Rajasthan)","₹ 500/hr-day, 600/hr-night"
"Govindgarh Sports Club","Ajmer","₹ 100/hr-day, 300/hr-night"
"Govindpur Cricket Ground.","Lakhimpur (Uttar Pradesh)","₹ 200/hr-day"
"GOVT HS GROUND","Nawa","₹ 10/hr-day"
"Govt N.M. P.G. College","Hanumangarh","₹ 500/hr-day, 0/hr-night"
"Govt. Higher Secondary School Deenwa Jatan","Lachhmangarh","₹ 500/hr-day"
"Gowthapur New Ground","Medak","₹ 1000/hr-day"
"GPL PUBLIC GROUND","Kushtagi","₹ N/A"
"GRCC Gudibande","Gudibanda","₹ 1000/hr-day, 1000/hr-night"
"Green Field Cricket aAcademy","Mahendragarh (Haryana)","₹ 3100/hr-day, 3100/hr-night"
"Green Galaxy Cricket Ground","Gurugram","₹ 12201/hr-day, 3000/hr-night"
"Green Grass Sports Tigaon","Faridabad","₹ 3500/hr-day"
"Green Land Turf","Bengaluru (Bangalore)","₹ 15000/hr-day, 15000/hr-night"
"Green Park","Birpur","₹ 400/hr-day"
"Green Park B","Kanpur","₹ 60/hr-day"
"Green Park Cricket Academy","Ghaziabad","₹ N/A"
"Giriraj Cricket Ground","Ghaziabad","₹ 7500/hr-day"
"Gitanjali Stadium","Kolkata","₹ N/A"
"GL SPORTS","Gurgaon","₹ 1000/hr-day, 1000/hr-night"
"GL Sports Academy","Gurgaon","₹ 1500/hr-day, 3000/hr-night"
"Glanz Cricket Academy","Bengaluru (Bangalore)","₹ 1500/hr-day, 0/hr-night"
"GLCC","Chennai","₹ 500/hr-day, 500/hr-night"
"GMS BOX CRICKET GROUND","Telangana State","₹ 1000/hr-day, 1500/hr-night"
"GNR Club Ground","Hyderabad (Telangana)","₹ N/A"
"Go Sports Cricket Ground Adavinekkalam","Vijayawada","₹ 10000/hr-day"
"Gods Cricket Ground","Noida","₹ N/A"
"Goga Cricket Association","Sumerpur (Rajasthan)","₹ 500/hr-day, 2000/hr-night"
"Goga Cricket Stadium","Sumerpur (Rajasthan)","₹ 500/hr-day, 2000/hr-night"
"Gogelao KGN","Nagaur","₹ 2000/hr-day, 500/hr-night"
"Gokad Cricket ground","Hapur","₹ 500/hr-day, 1000/hr-night"
"Golden Cricket Ground","New Delhi","₹ 1700/hr-day"
"Golden Ground Park","Karachi","₹ 50/hr-day, 20/hr-night"
"Goma KARGIL Play Ground","Kargil","₹ N/A"
"Goplana Jhora","Taranagar","₹ 1100/hr-day"
"Goriaker Cricket Griund","Handwara","₹ 100/hr-day, 100/hr-night"
"Government Law College","Mumbai","₹ N/A"
"GOVERNMENT SCHOOL GROUND","Gangapur (Rajasthan)","₹ 500/hr-day, 600/hr-night"
"Govindgarh Sports Club","Ajmer","₹ 100/hr-day, 300/hr-night"
"Govindpur Cricket Ground.","Lakhimpur (Uttar Pradesh)","₹ 200/hr-day"
"GOVT HS GROUND","Nawa","₹ 10/hr-day"
"Green Park Cricket Ground","Valsad","₹ 1000/hr-day, 0/hr-night"
"Green Park Dibli Barhampura","Darbhanga","₹ N/A"
"Green Park Ground","Bilaspur (Chhattisgarh)","₹ 4000/hr-day, 6000/hr-night"
"Green Park Nagrana","Sangariya","₹ 2000/hr-day, 0/hr-night"
"Green Park Oval Cricket Ground","Delhi","₹ 4500/hr-day"
"GREEN VALLEY CRICKET GROUND","Gurugram","₹ N/A"
"Greenfield Club","Bengaluru (Bangalore)","₹ N/A"
"Greenfield Cricket Ground 2.0","Delhi","₹ 2500/hr-day"
"greenfield cricket ground ghevra","New Delhi","₹ 2500/hr-day, 5000/hr-night"
"Greenfield Cricket Ground Tekipora","Kupwara","₹ N/A"
"Greenland Cricket Ground","Gurgaon","₹ 4500/hr-day"
"GreenPark Cricket Ground B","Ghaziabad","₹ 5000/hr-day, 7000/hr-night"
"Gogelao KGN","Nagaur","₹ 2000/hr-day, 500/hr-night"
"Gokad Cricket ground","Hapur","₹ 500/hr-day, 1000/hr-night"
"Golden Cricket Ground","New Delhi","₹ 1700/hr-day"
"Golden Ground Park","Karachi","₹ 50/hr-day, 20/hr-night"
"Goma KARGIL Play Ground","Kargil","₹ N/A"
"Goplana Jhora","Taranagar","₹ 1100/hr-day"
"Goriaker Cricket Griund","Handwara","₹ 100/hr-day, 100/hr-night"
"Government Law College","Mumbai","₹ N/A"
"GOVERNMENT SCHOOL GROUND","Gangapur (Rajasthan)","₹ 500/hr-day, 600/hr-night"
"Govindgarh Sports Club","Ajmer","₹ 100/hr-day, 300/hr-night"
"Govindpur Cricket Ground.","Lakhimpur (Uttar Pradesh)","₹ 200/hr-day"
"GOVT HS GROUND","Nawa","₹ 10/hr-day"
"Govt N.M. P.G. College","Hanumangarh","₹ 500/hr-day, 0/hr-night"
"Govt. Higher Secondary School Deenwa Jatan","Lachhmangarh","₹ 500/hr-day"
"Gowthapur New Ground","Medak","₹ 1000/hr-day"
"GPL PUBLIC GROUND","Kushtagi","₹ N/A"
"GRCC Gudibande","Gudibanda","₹ 1000/hr-day, 1000/hr-night"
"Green Field Cricket aAcademy","Mahendragarh (Haryana)","₹ 3100/hr-day, 3100/hr-night"
"Green Galaxy Cricket Ground","Gurugram","₹ 12201/hr-day, 3000/hr-night"
"Green Grass Sports Tigaon","Faridabad","₹ 3500/hr-day"
"Green Land Turf","Bengaluru (Bangalore)","₹ 15000/hr-day, 15000/hr-night"
"Green Park","Birpur","₹ 400/hr-day"
"Green Park B","Kanpur","₹ 60/hr-day"
"Green Park Cricket Academy","Ghaziabad","₹ N/A"
"GREENPARK CRICKET STADIUM","Ghaziabad","₹ 1500/hr-day, 2500/hr-night"
"Greenwood Cricket Ground","Telangana State","₹ 12000/Day"
"Gros Sporting","Greater Noida","₹ 7000/hr-day"
"Ground A-GamesForest","Gurgaon","₹ 8000/hr-day"
"Ground B-GamesForest","Gurgaon","₹ 8000/hr-day"
"Ground Grand-GamesForest","Gurgaon","₹ 8000/hr-day"
"Ground Lower-ActionLand","Gurugram","₹ 12000/hr-day"
"Ground Upper-ActionLand","Gurugram","₹ 12000/hr-day"
"GRT Tiruttani","Tiruttani","₹ 1000/hr-day"
"GS - SPM2","Greater Noida","₹ N/A"
"GSR Cricket Academy Ground","Dehradun","₹ N/A"
"GSS Sports Arena","Bengaluru (Bangalore)","₹ 6000/hr-day"
"Gogelao KGN","Nagaur","₹ 2000/hr-day, 500/hr-night"
"Gokad Cricket ground","Hapur","₹ 500/hr-day, 1000/hr-night"
"Golden Cricket Ground","New Delhi","₹ 1700/hr-day"
"Golden Ground Park","Karachi","₹ 50/hr-day, 20/hr-night"
"Goma KARGIL Play Ground","Kargil","₹ N/A"
"Goplana Jhora","Taranagar","₹ 1100/hr-day"
"Goriaker Cricket Griund","Handwara","₹ 100/hr-day, 100/hr-night"
"Government Law College","Mumbai","₹ N/A"
"GOVERNMENT SCHOOL GROUND","Gangapur (Rajasthan)","₹ 500/hr-day, 600/hr-night"
"Govindgarh Sports Club","Ajmer","₹ 100/hr-day, 300/hr-night"
"Govindpur Cricket Ground.","Lakhimpur (Uttar Pradesh)","₹ 200/hr-day"
"GOVT HS GROUND","Nawa","₹ 10/hr-day"
"Govt N.M. P.G. College","Hanumangarh","₹ 500/hr-day, 0/hr-night"
"Govt. Higher Secondary School Deenwa Jatan","Lachhmangarh","₹ 500/hr-day"
"Gowthapur New Ground","Medak","₹ 1000/hr-day"
"GPL PUBLIC GROUND","Kushtagi","₹ N/A"
"GRCC Gudibande","Gudibanda","₹ 1000/hr-day, 1000/hr-night"
"Green Field Cricket aAcademy","Mahendragarh (Haryana)","₹ 3100/hr-day, 3100/hr-night"
"Green Galaxy Cricket Ground","Gurugram","₹ 12201/hr-day, 3000/hr-night"
"Green Grass Sports Tigaon","Faridabad","₹ 3500/hr-day"
"Green Land Turf","Bengaluru (Bangalore)","₹ 15000/hr-day, 15000/hr-night"
"Green Park","Birpur","₹ 400/hr-day"
"Green Park B","Kanpur","₹ 60/hr-day"
"Green Park Cricket Academy","Ghaziabad","₹ N/A"
"Green Park Cricket Ground","Valsad","₹ 1000/hr-day, 0/hr-night"
"Green Park Dibli Barhampura","Darbhanga","₹ N/A"
"Green Park Ground","Bilaspur (Chhattisgarh)","₹ 4000/hr-day, 6000/hr-night"
"Green Park Nagrana","Sangariya","₹ 2000/hr-day, 0/hr-night"
"Green Park Oval Cricket Ground","Delhi","₹ 4500/hr-day"
"GREEN VALLEY CRICKET GROUND","Gurugram","₹ N/A"
"Greenfield Club","Bengaluru (Bangalore)","₹ N/A"
"Greenfield Cricket Ground 2.0","Delhi","₹ 2500/hr-day"
"greenfield cricket ground ghevra","New Delhi","₹ 2500/hr-day, 5000/hr-night"
"Greenfield Cricket Ground Tekipora","Kupwara","₹ N/A"
"Greenland Cricket Ground","Gurgaon","₹ 4500/hr-day"
"GreenPark Cricket Ground B","Ghaziabad","₹ 5000/hr-day, 7000/hr-night"
"GREENPARK CRICKET STADIUM","Ghaziabad","₹ 1500/hr-day, 2500/hr-night"
"Greenwood Cricket Ground","Telangana State","₹ 12000/Day"
"Gros Sporting","Greater Noida","₹ 7000/hr-day"
"Ground A-GamesForest","Gurgaon","₹ 8000/hr-day"
"Ground B-GamesForest","Gurgaon","₹ 8000/hr-day"
"Ground Grand-GamesForest","Gurgaon","₹ 8000/hr-day"
"Ground Lower-ActionLand","Gurugram","₹ 12000/hr-day"
"Ground Upper-ActionLand","Gurugram","₹ 12000/hr-day"
"GRT Tiruttani","Tiruttani","₹ 1000/hr-day"
"GS - SPM2","Greater Noida","₹ N/A"
"GSR Cricket Academy Ground","Dehradun","₹ N/A"
"GSS Sports Arena","Bengaluru (Bangalore)","₹ 6000/hr-day"
"GSS, Balwara","Jalore","₹ 500/hr-day, 5000/hr-night"
"Gujarat National Law University","Gandhinagar","₹ N/A"
"Gulbag Cricket Stadium","Husainabad","₹ 2000/hr-day, 2000/hr-night"
"Gulia Cricket Ground","Jhajjar","₹ 3500/hr-day"
"Gulmohar Ground Howrah","Howrah","₹ 1750/hr-day, 7200/hr-night"
"Gulshan Youth Club Ground","Dhaka (Bangladesh)","₹ 4000/hr-day"
"Guqa flood light Ground","Dammam","₹ 200/hr-day, 2000/hr-night"
"Gurdon Filed","Nalbari","₹ 2500/hr-day, 3000/hr-night"
"GURERA SOORTS GROUND","Siwani","₹ 2000/hr-day, 5000/hr-night"
"Gurgaon Greens","Gurgaon","₹ 4000/hr-day"
"Guru Dronacharya Sports Academy","Gurugram","₹ 2500/hr-day, 4500/hr-night"
"Guru Hargobind Stadium, Nathana","Bathinda","₹ 1000/hr-day, 200/hr-night"
"Gogelao KGN","Nagaur","₹ 2000/hr-day, 500/hr-night"
"Gokad Cricket ground","Hapur","₹ 500/hr-day, 1000/hr-night"
"Golden Cricket Ground","New Delhi","₹ 1700/hr-day"
"Golden Ground Park","Karachi","₹ 50/hr-day, 20/hr-night"
"Goma KARGIL Play Ground","Kargil","₹ N/A"
"Goplana Jhora","Taranagar","₹ 1100/hr-day"
"Goriaker Cricket Griund","Handwara","₹ 100/hr-day, 100/hr-night"
"Government Law College","Mumbai","₹ N/A"
"GOVERNMENT SCHOOL GROUND","Gangapur (Rajasthan)","₹ 500/hr-day, 600/hr-night"
"Govindgarh Sports Club","Ajmer","₹ 100/hr-day, 300/hr-night"
"Govindpur Cricket Ground.","Lakhimpur (Uttar Pradesh)","₹ 200/hr-day"
"GOVT HS GROUND","Nawa","₹ 10/hr-day"
"Govt N.M. P.G. College","Hanumangarh","₹ 500/hr-day, 0/hr-night"
"Govt. Higher Secondary School Deenwa Jatan","Lachhmangarh","₹ 500/hr-day"
"Gowthapur New Ground","Medak","₹ 1000/hr-day"
"GPL PUBLIC GROUND","Kushtagi","₹ N/A"
"GRCC Gudibande","Gudibanda","₹ 1000/hr-day, 1000/hr-night"
"Green Field Cricket aAcademy","Mahendragarh (Haryana)","₹ 3100/hr-day, 3100/hr-night"
"Green Galaxy Cricket Ground","Gurugram","₹ 12201/hr-day, 3000/hr-night"
"Green Grass Sports Tigaon","Faridabad","₹ 3500/hr-day"
"Green Land Turf","Bengaluru (Bangalore)","₹ 15000/hr-day, 15000/hr-night"
"Green Park","Birpur","₹ 400/hr-day"
"Green Park B","Kanpur","₹ 60/hr-day"
"Green Park Cricket Academy","Ghaziabad","₹ N/A"
"Green Park Cricket Ground","Valsad","₹ 1000/hr-day, 0/hr-night"
"Green Park Dibli Barhampura","Darbhanga","₹ N/A"
"Green Park Ground","Bilaspur (Chhattisgarh)","₹ 4000/hr-day, 6000/hr-night"
"Green Park Nagrana","Sangariya","₹ 2000/hr-day, 0/hr-night"
"Green Park Oval Cricket Ground","Delhi","₹ 4500/hr-day"
"GREEN VALLEY CRICKET GROUND","Gurugram","₹ N/A"
"Greenfield Club","Bengaluru (Bangalore)","₹ N/A"
"Greenfield Cricket Ground 2.0","Delhi","₹ 2500/hr-day"
"greenfield cricket ground ghevra","New Delhi","₹ 2500/hr-day, 5000/hr-night"
"Greenfield Cricket Ground Tekipora","Kupwara","₹ N/A"
"Greenland Cricket Ground","Gurgaon","₹ 4500/hr-day"
"GreenPark Cricket Ground B","Ghaziabad","₹ 5000/hr-day, 7000/hr-night"
"GREENPARK CRICKET STADIUM","Ghaziabad","₹ 1500/hr-day, 2500/hr-night"
"Greenwood Cricket Ground","Telangana State","₹ 12000/Day"
"Gros Sporting","Greater Noida","₹ 7000/hr-day"
"Ground A-GamesForest","Gurgaon","₹ 8000/hr-day"
"Ground B-GamesForest","Gurgaon","₹ 8000/hr-day"
"Ground Grand-GamesForest","Gurgaon","₹ 8000/hr-day"
"Ground Lower-ActionLand","Gurugram","₹ 12000/hr-day"
"Ground Upper-ActionLand","Gurugram","₹ 12000/hr-day"
"GRT Tiruttani","Tiruttani","₹ 1000/hr-day"
"GS - SPM2","Greater Noida","₹ N/A"
"GSR Cricket Academy Ground","Dehradun","₹ N/A"
"GSS Sports Arena","Bengaluru (Bangalore)","₹ 6000/hr-day"
"GSS, Balwara","Jalore","₹ 500/hr-day, 5000/hr-night"
"Gujarat National Law University","Gandhinagar","₹ N/A"
"Gulbag Cricket Stadium","Husainabad","₹ 2000/hr-day, 2000/hr-night"
"Gulia Cricket Ground","Jhajjar","₹ 3500/hr-day"
"Gulmohar Ground Howrah","Howrah","₹ 1750/hr-day, 7200/hr-night"
"Gulshan Youth Club Ground","Dhaka (Bangladesh)","₹ 4000/hr-day"
"Guqa flood light Ground","Dammam","₹ 200/hr-day, 2000/hr-night"
"Gurdon Filed","Nalbari","₹ 2500/hr-day, 3000/hr-night"
"GURERA SOORTS GROUND","Siwani","₹ 2000/hr-day, 5000/hr-night"
"Gurgaon Greens","Gurgaon","₹ 4000/hr-day"
"Guru Dronacharya Sports Academy","Gurugram","₹ 2500/hr-day, 4500/hr-night"
"Guru Hargobind Stadium, Nathana","Bathinda","₹ 1000/hr-day, 200/hr-night"
"Gogelao KGN","Nagaur","₹ 2000/hr-day, 500/hr-night"
"Gokad Cricket ground","Hapur","₹ 500/hr-day, 1000/hr-night"
"Golden Cricket Ground","New Delhi","₹ 1700/hr-day"
"Golden Ground Park","Karachi","₹ 50/hr-day, 20/hr-night"
"Goma KARGIL Play Ground","Kargil","₹ N/A"
"Goplana Jhora","Taranagar","₹ 1100/hr-day"
"Goriaker Cricket Griund","Handwara","₹ 100/hr-day, 100/hr-night"
"Government Law College","Mumbai","₹ N/A"
"GOVERNMENT SCHOOL GROUND","Gangapur (Rajasthan)","₹ 500/hr-day, 600/hr-night"
"Govindgarh Sports Club","Ajmer","₹ 100/hr-day, 300/hr-night"
"Govindpur Cricket Ground.","Lakhimpur (Uttar Pradesh)","₹ 200/hr-day"
"GOVT HS GROUND","Nawa","₹ 10/hr-day"
"Guru Kalgidhar School Cricket Ground","Amritsar","₹ 1500/hr-day"
"Guru Krupa Stedium","Tharad","₹ 1000/hr-day"
"Guru Nanak Khalsa College ground","Mumbai","₹ N/A"
"Guru Teg Bahudar Stadium","Budhlada","₹ , 1000/hr-night, 1000/hr-night"
"Gurugram cricket Ground","Gurgaon","₹ 10000/Day"
"Gurugram Cricket Ground N Delhi","Gurgaon","₹ 1500/hr-day, 2000/hr-night"
"Gurugram Lords","Gurgaon","₹ NA"
"GURUGRAM OVAL CRICKET GROUND","Gurgaon","₹ N/A"
"Guruji cricket ground","Gurgaon","₹ 5000/Team"
"GURUKUL CRICKET CROUND GCG","Faridabad","₹ N/A"
"Gurukul Ground Rau","Indore","₹ 1000/hr-day, 200/hr-night"
"Gurukul Sports Zone","Lucknow","₹ 1400/hr-day"
"Govt N.M. P.G. College","Hanumangarh","₹ 500/hr-day, 0/hr-night"
"Govt. Higher Secondary School Deenwa Jatan","Lachhmangarh","₹ 500/hr-day"
"Gowthapur New Ground","Medak","₹ 1000/hr-day"
"GPL PUBLIC GROUND","Kushtagi","₹ N/A"
"GRCC Gudibande","Gudibanda","₹ 1000/hr-day, 1000/hr-night"
"Green Field Cricket aAcademy","Mahendragarh (Haryana)","₹ 3100/hr-day, 3100/hr-night"
"Green Galaxy Cricket Ground","Gurugram","₹ 12201/hr-day, 3000/hr-night"
"Green Grass Sports Tigaon","Faridabad","₹ 3500/hr-day"
"Green Land Turf","Bengaluru (Bangalore)","₹ 15000/hr-day, 15000/hr-night"
"Green Park","Birpur","₹ 400/hr-day"
"Green Park B","Kanpur","₹ 60/hr-day"
"Green Park Cricket Academy","Ghaziabad","₹ N/A"
"Green Park Cricket Ground","Valsad","₹ 1000/hr-day, 0/hr-night"
"Green Park Dibli Barhampura","Darbhanga","₹ N/A"
"Green Park Ground","Bilaspur (Chhattisgarh)","₹ 4000/hr-day, 6000/hr-night"
"Green Park Nagrana","Sangariya","₹ 2000/hr-day, 0/hr-night"
"Green Park Oval Cricket Ground","Delhi","₹ 4500/hr-day"
"GREEN VALLEY CRICKET GROUND","Gurugram","₹ N/A"
"Greenfield Club","Bengaluru (Bangalore)","₹ N/A"
"Greenfield Cricket Ground 2.0","Delhi","₹ 2500/hr-day"
"greenfield cricket ground ghevra","New Delhi","₹ 2500/hr-day, 5000/hr-night"
"Greenfield Cricket Ground Tekipora","Kupwara","₹ N/A"
"Greenland Cricket Ground","Gurgaon","₹ 4500/hr-day"
"GreenPark Cricket Ground B","Ghaziabad","₹ 5000/hr-day, 7000/hr-night"
"GREENPARK CRICKET STADIUM","Ghaziabad","₹ 1500/hr-day, 2500/hr-night"
"Greenwood Cricket Ground","Telangana State","₹ 12000/Day"
"Gros Sporting","Greater Noida","₹ 7000/hr-day"
"Ground A-GamesForest","Gurgaon","₹ 8000/hr-day"
"Ground B-GamesForest","Gurgaon","₹ 8000/hr-day"
"Ground Grand-GamesForest","Gurgaon","₹ 8000/hr-day"
"Ground Lower-ActionLand","Gurugram","₹ 12000/hr-day"
"Ground Upper-ActionLand","Gurugram","₹ 12000/hr-day"
"GRT Tiruttani","Tiruttani","₹ 1000/hr-day"
"GS - SPM2","Greater Noida","₹ N/A"
"GSR Cricket Academy Ground","Dehradun","₹ N/A"
"GSS Sports Arena","Bengaluru (Bangalore)","₹ 6000/hr-day"
"GSS, Balwara","Jalore","₹ 500/hr-day, 5000/hr-night"
"Gujarat National Law University","Gandhinagar","₹ N/A"
"Gulbag Cricket Stadium","Husainabad","₹ 2000/hr-day, 2000/hr-night"
"Gulia Cricket Ground","Jhajjar","₹ 3500/hr-day"
"Gulmohar Ground Howrah","Howrah","₹ 1750/hr-day, 7200/hr-night"
"Gulshan Youth Club Ground","Dhaka (Bangladesh)","₹ 4000/hr-day"
"Guqa flood light Ground","Dammam","₹ 200/hr-day, 2000/hr-night"
"Gurdon Filed","Nalbari","₹ 2500/hr-day, 3000/hr-night"
"GURERA SOORTS GROUND","Siwani","₹ 2000/hr-day, 5000/hr-night"
"Gurgaon Greens","Gurgaon","₹ 4000/hr-day"
"Guru Dronacharya Sports Academy","Gurugram","₹ 2500/hr-day, 4500/hr-night"
"Guru Hargobind Stadium, Nathana","Bathinda","₹ 1000/hr-day, 200/hr-night"
"Gogelao KGN","Nagaur","₹ 2000/hr-day, 500/hr-night"
"Gokad Cricket ground","Hapur","₹ 500/hr-day, 1000/hr-night"
"Golden Cricket Ground","New Delhi","₹ 1700/hr-day"
"Golden Ground Park","Karachi","₹ 50/hr-day, 20/hr-night"
"Goma KARGIL Play Ground","Kargil","₹ N/A"
"Goplana Jhora","Taranagar","₹ 1100/hr-day"
"Goriaker Cricket Griund","Handwara","₹ 100/hr-day, 100/hr-night"
"Government Law College","Mumbai","₹ N/A"
"GOVERNMENT SCHOOL GROUND","Gangapur (Rajasthan)","₹ 500/hr-day, 600/hr-night"
"Govindgarh Sports Club","Ajmer","₹ 100/hr-day, 300/hr-night"
"Govindpur Cricket Ground.","Lakhimpur (Uttar Pradesh)","₹ 200/hr-day"
"GOVT HS GROUND","Nawa","₹ 10/hr-day"
"Green Park Cricket Ground","Valsad","₹ 1000/hr-day, 0/hr-night"
"Green Park Dibli Barhampura","Darbhanga","₹ N/A"
"Green Park Ground","Bilaspur (Chhattisgarh)","₹ 4000/hr-day, 6000/hr-night"
"Green Park Nagrana","Sangariya","₹ 2000/hr-day, 0/hr-night"
"Green Park Oval Cricket Ground","Delhi","₹ 4500/hr-day"
"GREEN VALLEY CRICKET GROUND","Gurugram","₹ N/A"
"Greenfield Club","Bengaluru (Bangalore)","₹ N/A"
"Greenfield Cricket Ground 2.0","Delhi","₹ 2500/hr-day"
"greenfield cricket ground ghevra","New Delhi","₹ 2500/hr-day, 5000/hr-night"
"Greenfield Cricket Ground Tekipora","Kupwara","₹ N/A"
"Greenland Cricket Ground","Gurgaon","₹ 4500/hr-day"
"GreenPark Cricket Ground B","Ghaziabad","₹ 5000/hr-day, 7000/hr-night"
"Guru Kalgidhar School Cricket Ground","Amritsar","₹ 1500/hr-day"
"Guru Krupa Stedium","Tharad","₹ 1000/hr-day"
"Guru Nanak Khalsa College ground","Mumbai","₹ N/A"
"Guru Teg Bahudar Stadium","Budhlada","₹ , 1000/hr-night, 1000/hr-night"
"Gurugram cricket Ground","Gurgaon","₹ 10000/Day"
"Gurugram Cricket Ground N Delhi","Gurgaon","₹ 1500/hr-day, 2000/hr-night"
"Gurugram Lords","Gurgaon","₹ NA"
"GURUGRAM OVAL CRICKET GROUND","Gurgaon","₹ N/A"
"Guruji cricket ground","Gurgaon","₹ 5000/Team"
"GURUKUL CRICKET CROUND GCG","Faridabad","₹ N/A"
"Gurukul Ground Rau","Indore","₹ 1000/hr-day, 200/hr-night"
"Gurukul Sports Zone","Lucknow","₹ 1400/hr-day"
"Gogelao KGN","Nagaur","₹ 2000/hr-day, 500/hr-night"
"Gokad Cricket ground","Hapur","₹ 500/hr-day, 1000/hr-night"
"Golden Cricket Ground","New Delhi","₹ 1700/hr-day"
"Golden Ground Park","Karachi","₹ 50/hr-day, 20/hr-night"
"Goma KARGIL Play Ground","Kargil","₹ N/A"
"Goplana Jhora","Taranagar","₹ 1100/hr-day"
"Goriaker Cricket Griund","Handwara","₹ 100/hr-day, 100/hr-night"
"Government Law College","Mumbai","₹ N/A"
"GOVERNMENT SCHOOL GROUND","Gangapur (Rajasthan)","₹ 500/hr-day, 600/hr-night"
